Name	Author	URL	Date	Zines using visualization	Zines about data	Zines about visualization 	Zines about you	Aligned with form	Tech zine
Market cafe magazine	Tiziana Alocci, Piero Zagami	https://www.marketcafemag.com/	2017 -	Yes	No	Yes	No	No	Yes
(Dis)location Black Exodus	Anti-eviction mapping project	https://archive.org/details/dislocationblackexodus	2019	Yes	Yes	No	No	No	No
I can't explain it any other way': a zine of Lilian's concert attendance, 2019	Lilian Huang	https://imgur.com/a/ovi8naB	2020	Yes	Yes	No	Yes	No	No
Rolling Thunder 10 (Summer 2012)	Rolling Thunder: An Anarchist Journal of Dangerous Living	https://archive.org/details/rolling_thunder_10/page/n22/mode/1up	2012	Yes	No	No	No	No	No
Stepz: a psychogeography and urban aesthetics zine	Tina Richardson	https://drive.google.com/file/d/0BzpXdKMok7fAMVBDS0ZTUHhQTnc/view http://particulations.blogspot.com/2016/02/call-for-papers-psychogeography-zine.html	2015	Yes	No	No	No	No	No
Vague 28: Wild West 11	Tom Vague	https://www.amazon.co.uk/Vague-28-Wild-West-11/dp/B00KUK9O7A	1997	Yes	No	No	No	No	No
Volume 8, Number 1	Two-Fisted Library Studies	https://issuu.com/twofistedlibrarians/docs/tfls-08-web	2017	Yes	No	No	No	No	No
Tech Spark	luxoft	https://issuu.com/vsereda_luxoft/docs/techspark-issue-8	2021	Yes	No	Yes	No	No	Yes
GARBAGE	Cecilia Zhao	https://issuu.com/ceciliazhao3/docs/final_zine_pdf	2019	Yes	Yes	No	No	No	No
Newcomb tech in mind: the zine of of newcomb's institute of technology	The Sophie Lab	https://issuu.com/ncidigitalresearchlab/docs/zine_final_2020	2018-	Yes	Yes	Yes	No	No	Yes
Seeds	Jupiter Hadley and Dann Sullivan	https://issuu.com/jupiterhadley/docs/seeds_20issue_202_20_282_29	2016-	Yes	Yes	No	No	No	Yes
Charts	Lily Xie	https://www.lily-xie.com/#/books-zines/	Undated	Yes	No	No	Yes	No	No
Visualizing the History of Fugazi	Carni Klirs	https://www.carniklirs.com/project/fugazi	2018	Yes	Yes	No	No	Yes	No
Queer Nerds Visualized	FAQNP: A Queer Nerd Publication	http://www.faqnp.com/	2014	Yes	No	No	Yes	No	Yes
Hip-Hip Array	Bubblesort Zines	https://shop.bubblesort.io/	2016	Yes	No	No	No	No	Yes
Statistical Things That Happen But Don’t Matter	Sarah McNeil	https://whatsgoodinthelibrary.blogspot.com/2011/10/updated-report-of-observations-which.html http://www.pikaland.com/2011/02/25/review-zines-by-sarah-mcneil/	2011	Yes	No	No	Yes	No	No
Updated Report of Observations Which Somehow Seem to Reflect Abstractly on Life	Sarah McNeil	https://seagreenzines.com/zine-review-updated-report-of-observations-which-somehow-seem-to-reflect-abstractly-on-life-stat-2/	2011	Yes	No	No	Yes	No	No
Fuck solitary: abolition & HB5417	Unknown		Undated	Yes	No	No	Yes	No	No
Encoding	Aarati Akkapeddi	https://aarati.me/project.html?project=project-encoding	Undated	Yes	Yes	No	Yes	No	Yes
Design and analysis of table cartograms	Andrew McNutt	https://www.mcnutt.in/ms-zine/	2019	Yes	No	Yes	No	No	No
The Denizen Designer Zine	Equity and Health Innovations Design Research Lab	https://ehilab.cdm.depaul.edu/ddzine/	2021	Yes	Yes	No	No	No	No
#2: Results of the longest bull market in american history	Papercuts library	https://www.papercutslibrary.com/	2020	Yes	Yes	No	No	No	No
Reclaim your sh*t!	Sarah Poppy Jackson	https://printedmatter-linkedbyair.herokuapp.com/catalog/56405/	2019	Yes	Yes	No	No	No	No
BREAK DOWN WORKBOOK #2—SONIC MEDITATIONS: INVESTIGATING PETRO-SUBJECTIVITY	Brett Bloom / BKDN BKDN	https://halfletterpress.com/break-down-workbook-2-sonic-meditations-investigating-petro-subjectivity/	2019	Yes	No	No	No	No	No
Mapping out utopia: 1970s Boston-area counterculture	Tim Devin	https://timdevin.com/utopia-all.html	2017	Yes	Yes	No	No	No	No
Pocket Lint's Party Zine Spring 2018	Pocket Lint		2018	Yes	No	No	No	No	No
Crying on Campus	Pocket Lint		Undated	Yes	Yes	No	No	No	No
Terrific trees of the USA!	Victoria Harley, Katrina Eresman		Undated	Yes	Yes	No	No	No	No
A science of mind and non-physical realms	Patrice Solomon, Jarad Solomon	https://digitalcollections.saic.edu/islandora/search?type=dismax&f%5B0%5D=mods_name_personal_author_namePart_ms%3ASolomon%2C%5C%20Patrice	2019	Yes	No	No	No	No	No
On the Potential of Zines as a Medium for Visualization	Andrew McNutt	http://www.mcnutt.in/zine-potential/	2021	Yes	No	Yes	No	Yes	No
Biff Boff Bam Sock #8: For your health 	Anna Jo Beck	https://microcosmpublishing.com/catalog/zines/9187	2019	Yes	No	No	No	No	No
Happy Tapir #3 A cup of holiday fear	Johnny Masiuleqicz	https://www.etsy.com/shop/HappyTapirPress	2017	Yes	No	No	Yes	No	No
Most Unwanted Zine	Liz Mason	https://www.quimbys.com/store/10991	2021	Yes	Yes	No	No	Yes	No
Mathematics for Misfits	Corinne Halbert, Erika Iris and Demi Zigler	https://www.quimbys.com/store/10605	2021	Yes	No	No	No	No	No
Awesome Attributes About Ants	Joe Song	https://smallsciencecollective.tumblr.com/post/86792507979/awesome-attributes-about-ants-by-joe-song-small	2009	Yes	No	No	No	No	No
The beginner's guide to variable stars 	Joe Song	https://3584a435-0345-46ee-97d3-fb7bd0da023c.filesusr.com/ugd/47841f_976d4a73713d4cb5a885831f4ab9b3ca.pdf	Undated	Yes	No	No	No	No	No
The beginner's guide to binary stars 	Joe Song	https://3584a435-0345-46ee-97d3-fb7bd0da023c.filesusr.com/ugd/47841f_976d4a73713d4cb5a885831f4ab9b3ca.pdf	Undated	Yes	No	No	No	No	No
perfect!	Annie Schleser	https://asyang.wixsite.com/small-science/spacephysics	2009	Yes	No	No	No	No	No
Language Zine	Hannah Israelsohn	https://asyang.wixsite.com/small-science/human-things	2008	Yes	No	No	No	No	No
Superfoods	Melissa Simerson	https://3584a435-0345-46ee-97d3-fb7bd0da023c.filesusr.com/ugd/47841f_b4d8a84dfe77497883e57e40002aea3a.pdf	Undated	Yes	Yes	No	No	No	No
The Wonderful World of Microbes Written	Charlotte Francoeur, Lindsey Leigh	https://arboretum.wisc.edu/learn/resources/	2021	Yes	Yes	No	No	No	No
The Solar System to Scale - science astronomy mini zine	Gabe Wigtil	https://www.etsy.com/listing/848664533/the-solar-system-to-scale-science?ref=landingpage_similar_listing_bot-1&frs=1	Undated	Yes	No	No	No	No	No
Nicotine Zine	Two Photon Art	https://issuu.com/twophotonart/docs/nic_zine_pages	2019	Yes	Yes	No	No	No	No
The Opium Poppy	Two Photon Art	https://issuu.com/twophotonart/docs/opium_poppy_upload	2016	Yes	Yes	No	No	No	No
